geoid,land,water
01001,380446.73969447915,6361.541787954117
01003,1017481.6640555888,279997.1852250881
01005,566400.7788754738,12488.373207869805
01007,398374.4836737619,2373.148070355782
01009,412685.25844729,3716.4280454475816
01011,398595.24866192555,1496.2187967955401
01013,497171.9945834548,671.693115155948
01015,387768.31370494654,4095.3035192717316
01017,381779.7309518985,4212.679954334966
01019,354405.3298112611,29579.209560004547
01021,443425.002347499,5087.969685138602
01023,584618.6517448096,4730.697133085899
01025,792588.3531923515,9058.35413135122
01027,386535.11932708323,1305.5858122099603
01029,358466.5488798723,581.9074541743475
01031,434550.720064445,965.4865747764934
01033,379275.65149276226,19775.118486925665
01035,544112.8722021518,1641.638208388726
01037,416582.4407071161,9881.061860306509
01039,659491.8344098881,8522.480392205314
01041,389673.1851361302,1331.5412443227588
01043,470258.59752993676,12954.441962410363
01045,359120.65922715387,992.4872617288465
01047,626377.853693975,9669.473616581745
01049,497342.7486989913,1018.4533193636547
01051,395803.6907627148,24701.909875804944
01053,604869.5294623486,5139.233380942262
01055,342582.4068537088,8539.809135972087
01057,401717.2029672388,1070.1830555047618
01059,405707.1349144769,8066.847135804055
01061,367660.5728886099,2867.64652100641
01063,414094.3998556906,8257.301463356775
01065,412148.45756957243,8011.978669882328
01067,359519.87837483874,4197.53166652664
01069,371104.2892514196,1168.9470354793593
01071,689911.2119025615,31217.958614827297
01073,711149.1549003425,8094.207607873758
01075,387101.26764948625,395.53604523012905
01077,427675.52077413106,32867.96849903382
01079,442036.34595711244,16973.00277251993
01081,388832.35422030906,5310.577583608032
01083,358371.2189203481,30228.23893092422
01085,458182.73426804977,5861.787904696481
01087,389635.8628665187,2816.8283558116664
01089,513026.17288465623,7111.07080551341
01091,625210.7159624993,3698.3290748876907
01093,475098.46745377895,786.704753809126
01095,362139.71424758947,36694.76927790929
01097,786814.3291341929,265352.60671236465
01099,656439.178523596,5586.968662123226
01101,502553.7065774452,9389.389551405287
01103,370806.56854944327,12585.529521653825
01105,460575.78591797093,2706.4627884335014
01107,564114.8591747676,5565.107515456428
01109,430122.9894288411,577.4785883376247
01111,371551.2604834365,2294.4752227653044
01113,410332.449602902,3869.983394533045
01115,404420.75485685194,13908.218717721888
01117,502638.54445174773,15454.646318380175
01119,578448.2079933578,6087.406779577253
01121,471538.8281284749,15056.52901261719
01123,458570.6149953297,31831.569414311343
01125,845357.0896942321,19442.92537918287
01127,506240.90702421137,9082.276135077565
01129,691331.1481000084,5350.502117691247
01131,568607.5401669443,12122.36771225098
01133,392306.3602397908,12089.058924697172
02013,4470459.844175484,5139836.450976807
02016,2811227.287823152,6223313.260404362
02020,1092090.4133080957,152099.66492539895
02050,26002593.446276866,3155188.8508621496
02060,308471.75662118284,234688.17848900135
02068,8087656.569043653,16325.960868426384
02070,11731981.093983978,1470527.5967046055
02090,4690626.238861735,67732.48913972809
02100,1540234.1501806339,260470.99701991174
02105,4196200.239444903,1929559.6143676825
02110,1687534.6406843823,351826.54033003363
02122,10254839.781213088,5566197.502261012
02130,3108461.1407362744,1289942.882877095
02150,4233935.120809714,3500590.767162689
02158,10926591.222083295,1654910.412270254
02164,15294447.732315918,6422697.972996348
02170,15755568.190646576,421243.7042546567
02180,14701905.356004408,3403834.001917536
02185,56848028.98815378,3841785.5455834894
02188,22814350.64000237,3182284.264096114
02195,1856503.7792263632,589469.6700651863
02198,3368114.5661080442,3613961.7925996943
02220,1836787.7341939183,1244901.0924519256
02230,277772.65237739874,7068.980147571203
02240,15886478.161587007,185897.53092521115
02261,21902371.71634304,3895180.4132092535
02275,1635740.9235802572,589283.2561541541
02282,4879521.701022521,8745118.967545208
02290,93166290.9067771,1471061.6618810634
04001,7166370.699505296,13386.71488512081
04003,3945322.080081841,33859.565687965485
04005,11915949.951320283,27202.770295982562
04007,3045113.099538902,23998.8200728466
04009,2958535.3911427623,11721.801841427674
04011,1178864.867576343,3397.8099069401956
04012,2879758.7653143425,9036.140118511636
04013,5887496.79381051,15891.398763485764
04015,8519075.027058015,95714.77812427412
04017,6367923.340318172,5949.825543754911
04019,5879815.1813999,1299.6063614753166
04021,3434136.8651250596,5518.468886988924
04023,791629.3741320431,763.0721102286711
04025,5199042.312311273,2842.0985653074235
04027,3528974.476754817,3254.7001873057134
05001,632833.5146261546,28765.379331135744
05003,592224.6257592306,9713.669363407678
05005,354704.148895687,20799.334051585673
05007,542400.7299486515,23303.82074003054
05009,377595.5602615361,7683.119010788611
05011,415510.90549215936,2355.635233242563
05013,402281.1350034347,2452.8019254434303
05015,403176.24108568125,5543.599976277904
05017,412374.87657097104,29730.536514729938
05019,554289.1211951983,10721.271553747843
05021,409259.14560918836,1259.676391078515
05023,354390.35252022557,24437.14830757674
05025,382581.197521041,617.8484059245934
05027,490229.35634047136,491.92633300880186
05029,353442.0990595177,9224.836292829503
05031,452663.8794027962,3476.5573802899034
05033,378364.515698591,7679.1631042338995
05035,390612.74642562383,16662.94905185749
05037,394484.07209540234,3791.78770701235
05039,427126.83833886025,460.6158849082993
05041,491606.2401466816,32886.097369318435
05043,530147.8543858696,4673.75520774131
05045,414686.06845801434,10320.591767444388
05047,389667.6161270713,6903.137741359968
05049,395642.9550318024,1365.7321973085304
05051,433741.44867872866,36419.19241090623
05053,404359.0324350237,715.8391938441162
05055,369720.1818199789,1183.5314293056838
05057,465612.4036907627,8740.631007744276
05059,393731.6316848124,4457.3686759611155
05061,376682.2227603623,4318.342122040298
05063,488930.0776404422,4841.677003899319
05065,371567.98604350036,2202.650449978502
05067,405710.4100463075,4849.038760915871
05069,556769.1862332771,28046.47949274252
05071,422328.2495564462,14627.553955412344
05073,338108.6022249349,10741.523551593087
05075,376064.56833199074,3035.973322526601
05077,385677.2285179126,10803.662592726212
05079,359399.2221129468,6799.079039057442
05081,340655.8581220996,20793.93307403765
05083,453197.3384302891,14995.736200412171
05085,493377.0935984936,20445.59757441572
05087,533921.3943650138,1809.0319408133712
05089,382051.64176670305,27746.371754891446
05091,400367.7994791023,7727.269784474876
05093,576367.8674330221,12312.354516835274
05095,388568.16717158485,9067.503447117024
05097,499108.9723884691,13075.167413747942
05099,395415.9484143262,1792.5910458973128
05101,525379.2730660314,1465.3773542944407
05103,468980.5755573457,4460.354694750992
05105,353000.3634916948,5739.373489569691
05107,445142.5245746084,20356.205551958803
05109,384396.7797255156,8646.021359770291
05111,485350.9945982811,3341.286824846918
05113,548915.147793598,3057.2557489016176
05115,520012.5746875355,11682.893156669616
05117,414647.30482398695,17744.07021740312
05119,485703.9119218357,31195.249156135866
05121,417432.0035780828,2434.602383082192
05123,406273.64549304894,4949.200861902808
05125,463069.75679909857,4442.873487098639
05127,571075.7290837835,3678.702253104876
05129,426300.13714336546,1546.0596610705584
05131,340412.48350573034,9808.545143642232
05133,361683.0903465897,10336.864630849597
05135,386833.442471447,1285.2900767508636
05137,388098.28459595836,1937.7808967940575
05139,665097.354986335,10230.357363486752
05141,454228.8149330592,9314.07832245247
05143,602857.2199186529,6684.640437277296
05145,662452.3917308728,4520.305619665617
05147,375531.4683482997,4621.844837726039
05149,595287.883939647,11980.392699525064
06001,471876.12865283206,53601.2407150235
06003,472537.3823161661,3102.974651952378
06005,380525.537330177,7282.329509792778
06007,1047339.9613527525,26022.891080986246
06009,652809.6348774111,10822.628408197961
06011,736455.6372100839,3609.9269557138127
06013,458951.11345586454,55646.49184800067
06015,643985.2112502039,143010.29563661703
06017,1093017.9287151026,50243.482107115145
06019,3813181.1377215916,33937.18314940472
06021,840935.7924415473,8328.488012928541
06023,2283561.017677903,309879.60616379115
06025,2673008.611862036,195269.98808953114
06027,6515794.57406483,29427.294247886013
06029,5204626.251958308,19464.605644870342
06031,889231.0003311209,1347.4842223353414
06033,804166.3489717954,46666.344029692154
06035,2906355.9428791706,114514.96963077546
06037,2597220.6725708325,443502.74830362306
06039,1367690.1330908407,10381.61018666324
06041,333092.0348121754,196950.01482630978
06043,927255.2438186643,8951.543665953357
06045,2244067.418442941,237948.97871436126
06047,1238534.3995097433,27801.672160638125
06049,2505883.6144566406,184197.2959282011
06051,1951349.5631180718,53052.4092753394
06053,2099573.698867764,314005.4508927909
06055,478930.8150022486,25760.471328387936
06057,612965.9368003835,10262.769900614303
06059,506168.36979781854,100551.01634353548
06061,900511.540058218,60930.14510015172
06063,1633958.407011856,38644.19204024849
06065,4612104.769623856,61921.6439412285
06067,617525.6013304142,18833.81732997929
06069,888735.6819855394,1166.6815753448352
06071,12836649.603149109,30602.740643363002
06073,2693146.6692695078,203258.16756695314
06075,30019.59716916325,118389.87288910414
06077,891108.3336216226,22003.933172879715
06079,2112391.4336053138,201533.7103334437
06081,287076.213409903,187136.18484454614
06083,1750493.1284996269,674551.2607305417
06085,826371.5371917981,8222.777412611258
06087,284904.2037530332,103678.00937022778
06089,2416251.1413787478,46080.03884493162
06091,610027.1781084593,5757.330374660848
06093,4018407.6770632043,44268.84646367801
06095,525925.5820562114,54036.950129236
06097,1008547.5062146948,122933.78644183392
06099,957442.2362028832,11461.859318088591
06101,385552.1648883332,3883.8479710195065
06103,1887445.7658530318,8344.19376998463
06105,2034729.416387026,18139.48320426207
06107,3087539.0927781044,9206.949091394315
06109,1421368.5099064459,34279.098115576024
06111,1179507.751936069,233769.03797017934
06113,649455.7899210746,5606.459328961219
06115,404489.8637462131,7674.570901884424
08001,747053.4715804352,10332.830144853046
08003,462448.87962519086,456.55372313349113
08005,510676.0396949734,4818.449365681046
08007,864060.4342626134,3390.474590176087
08009,1635193.850046703,1517.7676025362873
08011,968233.0070721498,18061.7142673579
08013,464874.4048472149,9024.578067934151
08014,21122.285426231694,348.76299155394554
08015,648580.7986933079,988.4144744320288
08017,1138095.7166791044,2017.893873274588
08019,252927.02564457382,809.2432157277494
08021,823953.2968770849,2282.0880880485115
08023,785659.079879215,2181.6682563765485
08025,503953.157509773,8258.991415566637
08027,472720.0738350227,831.2990812630039
08029,730961.7305762987,4145.924988756715
08031,98115.04351521921,1046.910691251983
08033,682988.4206520611,671.1724645774749
08035,537717.9316803645,1717.5904281344053
08037,1078071.475168402,4675.361638406072
08039,1184537.8607117618,109.25705361687827
08041,1361179.4005722955,1754.208448031313
08043,981171.709918307,552.3724566701096
08045,1886424.4720598191,5290.076256653307
08047,95933.38934383694,232.78690144951887
08049,1181721.2646348032,14802.187869113337
08051,2073048.7501420854,13113.146488882738
08053,715027.0753127115,3786.8090321879185
08055,1018260.1664006168,1431.2580618059433
08057,1032783.5089427358,4633.226007324197
08059,489115.1169054526,6283.3947801505365
08061,1131396.5901958556,11622.077116579274
08063,1382924.5266700601,556.4635297489906
08065,241227.98169444953,4475.461221786768
08067,1081461.1827441521,6270.471674335164
08069,1661293.6785557198,24466.530841195396
08071,3054677.594233554,1712.4313665409725
08073,1649713.2811611965,5629.146053977652
08075,1176701.937304478,4043.5184315741094
08077,2130518.826695265,7766.110021102781
08079,560486.1744661293,1290.4229451970168
08081,3035673.059112497,4893.525350518674
08083,1298769.1963645888,6736.3555942137855
08085,1434204.2082009262,1216.563211971751
08087,819509.8192178627,8565.430729009651
08089,807759.9650099089,4849.530500190271
08091,346619.19414064236,395.25533376494366
08093,1404096.366318578,10754.242301438646
08095,440273.43990155327,74.57831503931443
08097,621248.3093064746,1599.4064533984372
08099,1048573.1275606272,3792.0652061104165
08101,1527132.025076232,7436.583425174085
08103,2061419.2307122063,1202.9353622314584
08105,583651.5476196359,243.2243764301211
08107,1511691.2307319748,3912.1056819361183
08109,2027880.3089308748,1100.7324197031774
08111,248009.71642211493,503.0885674325279
08113,823504.1797838324,1285.9587433219829
08115,350745.79501144093,872.4655658955338
08117,389336.59602753737,6988.991217882506
08119,356507.0778331842,1221.8307527317475
08121,1611572.1290086634,3757.8270560385085
08123,2551041.0281057414,19659.21208047721
08125,1513213.5710155529,2751.4334570506517
09001,399980.33858349436,135730.06009597564
09003,470484.0669061939,9915.852537522918
09005,589113.0716160183,15417.721888081129
09007,236354.54846473562,44646.74933158053
09009,386881.11968291464,164841.94585431667
09011,425690.1115926916,68365.6387915569
09013,262625.2143637289,4336.619749633049
09015,328217.5162965855,5363.679494719362
10001,375246.0334679233,135685.4067103878
10003,272841.25766643765,43336.25477530727
10005,599112.0384693318,166596.9746914892
11001,39129.50756883114,4614.925151846122
12001,560039.3623698374,59997.40638420899
12003,374546.92403493077,2393.4902615855253
12005,485414.4872814972,175802.78388676653
12007,188136.57403517788,4177.299189989276
12009,649721.9762976727,346772.6209950431
12011,770974.1140044379,75627.2977073583
12013,363093.6595286222,4466.375906258185
12015,435919.2692606119,113356.02491808463
12017,372415.1359325502,122459.98996753037
12019,387075.2838002797,24794.489060654432
12021,1279259.2474165154,195924.84815387733
12023,510427.34539865475,2415.1967204202765
12027,407718.0932871411,1543.7294593833244
12029,451266.65266404074,101468.8906955022
12031,488221.7153546206,99592.16009449301
12033,420436.6533559352,139373.67885224594
12035,310702.01217734243,54621.42401763342
12037,348892.42721517425,315189.8652288441
12039,330427.3510820735,7830.093702277815
12041,223804.51016343533,3548.9624054204987
12043,516269.6367059893,115338.45796494071
12045,354295.69740490156,122135.8309899527
12047,328820.26534152403,3375.4066115457417
12049,408185.0869563068,355.7506313536915
12051,739986.2387134717,21506.999747952734
12053,302627.8947134321,74344.8018957908
12055,650616.0549166515,57242.66221218426
12057,653000.8206362464,157057.76849211488
12059,306407.6491403211,6582.284783758271
12061,321779.7746895123,73040.58257513233
12063,587632.5983602101,23287.933854889965
12065,382779.8485739561,24603.60106354062
12067,347758.302239267,2902.2792980236527
12069,602163.8932406853,138280.53602051962
12071,501797.4244228859,274120.35182833107
12073,426800.3857311595,22344.266418902556
12075,715667.5239568455,188519.65128519395
12077,534760.059156976,4838.923016857514
12079,445518.64902665274,12524.264491482285
12081,475603.112042423,95756.85469722204
12083,1016646.7073237028,47456.265845618575
12085,347985.35037041066,133995.79229328418
12086,1215143.3375505947,340809.04157791473
12087,629129.277019714,1762696.6149063718
12089,415128.4141284848,49460.363343431694
12091,595367.1446504203,97162.21910320593
12093,492093.3933963616,78722.39044592598
12095,578013.1099173186,64035.12229234517
12097,849730.9089022105,114132.08339305042
12099,1258440.0132448366,266802.84245069016
12101,478494.44482883025,77321.10920565574
12103,175257.7983918396,213944.00201637813
12105,1149923.5184809952,136763.31995670716
12107,465834.52108548355,63394.4144348952
12109,384444.6956405707,141334.7699203827
12111,365877.62660433026,74340.28382499024
12113,647740.7345448076,103476.12346362365
12115,355729.7492376806,108452.006988134
12117,198106.51739867454,22911.427872473967
12119,350521.0980859234,20566.853560538293
12121,440672.79470997263,2370.805019200071
12123,667722.7840844507,120882.52744102835
12125,155875.6292532976,3965.906159343293
12127,704764.2606860627,212003.56276224036
12129,388109.6156032084,82755.93670154145
12131,664141.2818827436,129198.58112215396
12133,373874.8978220151,20335.462803259812
13001,324569.73703068553,3277.357012597421
13003,217152.9328911798,3348.511438497996
13005,181783.07922685737,1143.0741364910077
13007,218852.48859609672,4595.823675639878
13009,165567.26696747603,6128.940709587186
13011,148539.32085616997,1149.323426063664
13013,102865.9128311827,1410.4735523344025
13015,294093.28022219695,6762.824016645003
13017,160078.0313625873,2422.3981061860304
13019,289236.97533396265,3807.6706384703202
13021,159555.74766609172,3583.9045581018368
13023,138156.5482868199,2087.382069060951
13025,283110.4752820705,3098.7995631180715
13027,315579.36597757274,3012.583830426553
13029,279273.977602388,11577.573970930549
13031,430729.47075016185,9990.383408370933
13033,529297.662632263,5090.6591777328595
13035,117562.71850274039,2783.532417726336
13037,179434.73557276506,2054.857099084228
13039,392357.50384248525,108027.11756769445
13043,155554.85907592552,3714.0817819247513
13045,319377.45684308326,3039.745877050355
13047,103783.98758543661,190.55712330053424
13049,495125.27539870417,5603.406097567003
13051,274883.904805207,129763.43683744928
13053,159190.7491240122,1554.9596477268797
13055,200528.90537354886,141.04910968009764
13057,269492.61896878073,8517.554103675442
13059,76297.30432977667,1165.1465580721842
13061,125044.05712082949,13987.404061420459
