state,county_code,geoid,name
AK,013,02013,Aleutians East
AK,016,02016,Aleutians West
AK,020,02020,Anchorage
AK,050,02050,Bethel
AK,060,02060,Bristol Bay
AK,068,02068,Denali
AK,070,02070,Dillingham
AK,090,02090,Fairbanks North Star
AK,100,02100,Haines
AK,105,02105,Hoonah-Angoon
AK,110,02110,Juneau
AK,122,02122,Kenai Peninsula
AK,130,02130,Ketchikan Gateway
AK,150,02150,Kodiak Island
AK,158,02158,Kusilvak
AK,164,02164,Lake and Peninsula
AK,170,02170,Matanuska-Susitna
AK,180,02180,Nome
AK,185,02185,North Slope
AK,188,02188,Northwest Arctic
AK,195,02195,Petersburg
AK,198,02198,Prince of Wales-Hyder
AK,220,02220,Sitka
AK,230,02230,Skagway
AK,240,02240,Southeast Fairbanks
AK,261,02261,Valdez-Cordova
AK,275,02275,Wrangell
AK,282,02282,Yakutat
AK,290,02290,Yukon-Koyukuk
AL,001,01001,Autauga
AL,003,01003,Baldwin
AL,005,01005,Barbour
AL,007,01007,Bibb
AL,009,01009,Blount
AL,011,01011,Bullock
AL,013,01013,Butler
AL,015,01015,Calhoun
AL,017,01017,Chambers
AL,019,01019,Cherokee
AL,021,01021,Chilton
AL,023,01023,Choctaw
AL,025,01025,Clarke
AL,027,01027,Clay
AL,029,01029,Cleburne
AL,031,01031,Coffee
AL,033,01033,Colbert
AL,035,01035,Conecuh
AL,037,01037,Coosa
AL,039,01039,Covington
AL,041,01041,Crenshaw
AL,043,01043,Cullman
AL,045,01045,Dale
AL,047,01047,Dallas
AL,049,01049,DeKalb
AL,051,01051,Elmore
AL,053,01053,Escambia
AL,055,01055,Etowah
AL,057,01057,Fayette
AL,059,01059,Franklin
AL,061,01061,Geneva
AL,063,01063,Greene
AL,065,01065,Hale
AL,067,01067,Henry
AL,069,01069,Houston
AL,071,01071,Jackson
AL,073,01073,Jefferson
AL,075,01075,Lamar
AL,077,01077,Lauderdale
AL,079,01079,Lawrence
AL,081,01081,Lee
AL,083,01083,Limestone
AL,085,01085,Lowndes
AL,087,01087,Macon
AL,089,01089,Madison
AL,091,01091,Marengo
AL,093,01093,Marion
AL,095,01095,Marshall
AL,097,01097,Mobile
AL,099,01099,Monroe
AL,101,01101,Montgomery
AL,103,01103,Morgan
AL,105,01105,Perry
AL,107,01107,Pickens
AL,109,01109,Pike
AL,111,01111,Randolph
AL,113,01113,Russell
AL,115,01115,St. Clair
AL,117,01117,Shelby
AL,119,01119,Sumter
AL,121,01121,Talladega
AL,123,01123,Tallapoosa
AL,125,01125,Tuscaloosa
AL,127,01127,Walker
AL,129,01129,Washington
AL,131,01131,Wilcox
