asset_id,name,STATE,YEAR,sizeBytes,updateTime,bag_fraction,class_key,date_ingested,image_name,training_data
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1985,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1985,AZ,1985,29340429,2021-12-13T18:12:19.152051Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1986,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1986,AZ,1986,21801008,2021-12-13T18:12:22.323264Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1987,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1987,AZ,1987,24087418,2021-12-13T18:12:25.565719Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1988,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1988,AZ,1988,21783667,2021-12-13T18:12:28.713605Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1989,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1989,AZ,1989,19183499,2021-12-13T18:12:31.666171Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1990,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1990,AZ,1990,26442288,2021-12-13T18:12:35.051468Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1991,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1991,AZ,1991,24070050,2021-12-13T18:12:38.639319Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1992,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1992,AZ,1992,24709235,2021-12-13T18:12:42.137479Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1993,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1993,AZ,1993,23851974,2021-12-13T18:12:45.264284Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1994,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1994,AZ,1994,21449612,2021-12-13T18:12:48.476246Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1995,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1995,AZ,1995,23874702,2021-12-13T18:12:51.693605Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1996,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1996,AZ,1996,19406644,2021-12-13T18:12:54.783592Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1997,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1997,AZ,1997,20886156,2021-12-13T18:12:57.717408Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1998,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1998,AZ,1998,24052849,2021-12-13T18:13:01.201403Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1999,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_1999,AZ,1999,23194808,2021-12-13T18:13:04.180348Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2000,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2000,AZ,2000,19199500,2021-12-13T18:13:07.722104Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2001,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2001,AZ,2001,20761753,2021-12-13T18:13:11.182840Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2002,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2002,AZ,2002,18665257,2021-12-13T18:13:14.125242Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2003,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2003,AZ,2003,20026899,2021-12-13T18:13:17.411556Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2004,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2004,AZ,2004,19475316,2021-12-13T18:13:20.932482Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2005,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2005,AZ,2005,22703716,2021-12-13T18:13:24.208210Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2006,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2006,AZ,2006,20064659,2021-12-13T18:13:27.763414Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2007,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2007,AZ,2007,20101156,2021-12-13T18:13:31.247681Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2008,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2008,AZ,2008,21970813,2021-12-13T18:13:34.680053Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2009,projects/ee-dgketchum/assets/IrrMapper/IrrMapperComp/AZ_2009,AZ,2009,17986037,2021-12-13T18:13:38.163312Z,0.5,"0: irrigated, 1: rainfed, 2: uncultivated, 3: wetland",2021-11-26,AZ,users/dgketchum/bands/state/AZ_24NOV2021
